SA2_MAINCODE_2016,Med_ag_pe_In_pe_hh_In_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_ps,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_w_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
202011021,21,34,34,606,611,611,1266,1167,1169,1083,1408,1400,270,260,260,0.8,0.8,0.8,2.7,2.3,2.3,6.8,2.2,2.3
202011022,20,41,40,436,575,572,1056,1060,1060,1408,1300,1300,240,250,250,1,0.7,0.8,2.8,2.3,2.3,7.6,1.9,2
202011023,27,35,35,350,721,720,2042,1827,1828,1744,1700,1700,0,330,330,1.2,0.8,0.8,3.6,3.1,3.1,0,1.7,1.9
202011024,17,37,37,374,743,742,1708,1853,1851,1875,1733,1733,320,350,350,1,0.8,0.8,3.9,3,3,0,1.1,1.1
202011025,18,33,33,506,680,677,1258,1399,1393,1517,1517,1517,270,295,290,1,0.8,0.8,3.1,2.6,2.7,10,1.9,2.1
202021026,26,40,40,589,690,689,1575,1582,1582,1517,1600,1600,300,260,265,0.9,0.8,0.8,2.8,2.8,2.8,0,1.7,1.7
202021027,34,47,47,483,568,568,725,966,965,1250,1300,1300,236,265,265,1,0.8,0.8,2.2,2.1,2.2,12.2,2,2.1
202021028,28,51,51,421,520,519,900,1044,1043,1300,1300,1300,160,230,230,1.1,0.8,0.8,2.8,2.3,2.3,10.3,2,2.1
202021029,42,53,53,374,467,467,1125,890,895,1250,1252,1252,230,200,200,0.9,0.8,0.8,2.8,2.2,2.2,0,2.7,2.8
202021030,26,45,45,537,616,616,1312,1268,1269,1731,1550,1551,260,300,300,0.9,0.8,0.8,3.1,2.4,2.4,0,1.5,1.5
202021031,37,43,43,575,732,731,2249,1687,1689,1409,1733,1733,264,320,320,0.9,0.8,0.8,3.1,2.6,2.6,0,1.5,1.5
202031032,20,46,45,356,562,558,754,1194,1187,1065,1300,1300,200,180,180,1.1,0.8,0.8,3,2.5,2.5,0,2.1,2.1
202031033,31,51,51,380,468,466,820,824,824,845,780,785,160,124,125,1,0.7,0.8,2.8,2.2,2.2,13.1,2.1,2.4
203011034,18,35,35,724,707,707,2666,1705,1710,1600,1772,1772,0,315,315,1.1,0.8,0.8,4,3,3.1,0,1.8,1.9
203011035,17,41,41,556,627,627,1687,1398,1400,2184,1517,1517,0,200,200,1,0.8,0.8,3.7,2.7,2.8,0,1.9,1.9
203011036,31,44,44,374,617,617,1562,1355,1358,1493,1603,1602,225,240,240,0.8,0.8,0.8,2.5,2.7,2.7,0,2.1,2.1
203021037,23,39,39,431,602,601,1025,1143,1142,1733,1517,1517,245,291,290,1,0.8,0.8,2.5,2.2,2.3,0,1.8,1.8
203021038,20,37,36,436,449,449,783,868,866,1192,1172,1174,225,230,230,0.9,0.8,0.8,2.8,2.4,2.4,7.2,5.3,5.4
203021039,26,40,40,547,681,680,1069,1281,1276,1153,1560,1560,260,290,290,0.9,0.8,0.8,2.4,2.1,2.1,9.2,2.2,2.3
203021040,23,37,37,509,672,671,1016,1278,1275,2145,1517,1517,305,280,280,1,0.8,0.8,2.6,2.3,2.3,5.1,2.2,2.2
203021041,20,37,37,444,625,623,1625,1375,1376,1652,1590,1595,330,330,330,1,0.8,0.8,3.5,2.6,2.6,6.3,1.5,1.6
203021042,21,38,38,619,656,656,1562,1677,1676,1450,1759,1751,340,310,310,1,0.8,0.8,3,2.7,2.7,0,1.3,1.3
203021043,26,37,37,530,666,666,1656,1553,1554,1762,1700,1700,338,310,310,1,0.8,0.8,3.7,2.7,2.8,7.1,1.8,1.9
203021044,19,39,39,703,627,627,1924,1352,1358,1842,1580,1582,370,330,330,0.9,0.8,0.8,3.1,2.6,2.6,6.3,1.4,1.5
203021045,24,44,44,486,510,510,900,957,956,1120,1300,1300,262,260,260,0.9,0.8,0.8,2.9,2.2,2.3,10.6,2.1,2.3
203021046,23,40,40,411,797,794,1208,1678,1674,1950,1907,1918,280,300,300,0.9,0.8,0.8,3,2.5,2.5,0,1.1,1.2
203021047,22,42,42,420,539,537,924,1099,1096,1080,1419,1408,283,284,284,1,0.8,0.8,3.2,2.3,2.4,11.1,2.2,2.3
203031048,18,45,45,457,565,564,1180,1163,1163,1454,1517,1517,280,300,300,0.9,0.7,0.7,3.2,2.4,2.5,0,1.4,1.4
203031049,28,52,52,575,693,692,962,1265,1262,0,1706,1700,370,315,320,0.6,0.7,0.7,2.3,2.2,2.2,0,1.1,1.1
203031050,21,40,40,583,728,727,1792,1576,1577,1910,1777,1781,365,350,350,1.1,0.8,0.8,3.4,2.6,2.6,0,1.1,1.1
203031051,35,58,58,468,492,492,1062,895,896,1480,1517,1517,270,270,270,0.7,0.7,0.7,2.7,2.1,2.1,0,1.4,1.4
203031052,55,59,59,687,666,666,1375,1210,1211,0,1733,1733,325,300,300,0.7,0.7,0.7,2.6,2.2,2.2,0,0.8,0.7
203031053,18,39,39,547,770,769,1625,1768,1767,2004,2000,2000,410,400,400,0.9,0.8,0.8,2.9,2.7,2.7,0,1.3,1.3
204011054,24,53,53,428,524,522,1281,934,936,1229,1300,1300,185,205,200,0.9,0.7,0.7,2.8,2.1,2.1,12.8,1.7,1.9
204011055,34,54,54,457,527,526,1062,912,914,1300,1083,1083,190,175,175,0.8,0.7,0.7,2.7,2.1,2.1,0,2,2
204011056,22,40,40,484,609,607,1303,1324,1323,1463,1517,1517,275,280,280,0.9,0.8,0.8,3,2.6,2.6,4.8,1.9,1.9
204011057,27,47,47,575,585,585,1281,1059,1063,1300,1359,1350,215,231,231,0.9,0.7,0.7,2.3,2.3,2.3,0,1.7,1.7
204011058,35,50,50,575,579,578,1125,1059,1061,1820,1300,1300,218,220,220,0.8,0.7,0.8,2.2,2.2,2.2,0,1.7,1.8
204011059,18,46,45,407,540,536,814,983,977,1105,1192,1192,200,200,200,1,0.7,0.8,3,2.2,2.3,12.3,3.1,3.4
204011060,19,38,38,667,715,713,1875,1513,1525,1083,1517,1517,249,250,250,1,0.8,0.8,3.3,2.7,2.7,0,2.8,2.7
204011061,0,48,48,0,462,458,0,758,747,0,1075,1036,0,200,200,1,0.8,0.8,0,1.9,1.9,0,5.3,5.2
204011062,30,51,51,695,535,537,1437,995,1003,1264,1343,1322,255,231,240,0.9,0.7,0.8,2.8,2.2,2.2,0,1.6,1.8
204021063,20,50,49,380,540,537,734,911,905,1155,1170,1170,200,200,200,1,0.7,0.7,2.6,2.1,2.1,6,1.5,1.6
204021064,31,50,50,366,545,540,1375,1115,1121,1141,1289,1281,0,160,160,1.2,0.7,0.8,3,2.4,2.4,0,1.6,1.8
204021065,18,47,46,619,612,613,1542,1139,1143,1263,1300,1300,220,198,200,0.8,0.7,0.7,3,2.3,2.3,0,1.3,1.4
204021066,21,44,44,461,586,584,949,1028,1026,1300,1300,1300,210,220,220,0.9,0.7,0.7,3,2.2,2.3,6.8,1.6,1.7
204021067,26,47,47,435,618,616,1125,1211,1210,1354,1346,1346,168,158,160,1,0.8,0.8,2.8,2.5,2.5,11.1,1.7,1.8
204031068,38,49,49,350,618,616,1374,1172,1173,1410,1430,1430,250,250,250,0.8,0.8,0.8,2.6,2.3,2.3,0,1.7,1.7
204031069,18,48,48,374,591,590,1125,1038,1039,0,1300,1300,230,220,220,0.9,0.7,0.7,2.9,2.2,2.2,0,1.9,1.9
204031070,19,45,45,425,656,653,1291,1343,1341,953,1300,1300,295,200,203,0.9,0.8,0.8,2.7,2.4,2.5,0,0.9,1
204031071,27,50,50,489,533,532,1125,957,960,1300,1300,1300,198,195,195,1,0.7,0.7,2.8,2.3,2.3,0,2,2
204031072,38,51,50,378,539,534,725,1048,1039,852,1083,1083,178,150,150,0.8,0.7,0.7,2.2,2.2,2.3,0,1.8,1.9
204031073,19,37,37,487,673,669,1196,1320,1315,1300,1400,1400,250,250,250,1,0.8,0.8,3,2.5,2.5,8.5,1.4,1.6
204031074,19,36,36,463,681,677,1045,1255,1245,1491,1473,1473,249,250,250,0.9,0.8,0.8,3,2.4,2.4,8,1.8,1.9
204031075,23,45,45,433,693,689,787,1458,1445,1517,1560,1560,200,220,220,0.8,0.8,0.8,2.6,2.6,2.7,0,1.8,1.8
205011076,18,40,40,378,568,566,1197,1170,1170,1300,1517,1504,220,270,270,1,0.8,0.8,3.2,2.5,2.5,9.7,1.6,1.7
205011077,11,47,47,537,579,579,966,1210,1208,997,1400,1400,200,195,195,1,0.8,0.8,3.5,2.5,2.5,0,2.1,2.2
205011078,26,43,43,556,599,599,1474,1215,1220,1157,1376,1356,270,250,250,0.9,0.8,0.8,3.2,2.5,2.5,0,2,2.1
205011079,20,43,42,328,599,597,1112,1212,1211,1300,1473,1473,220,250,250,1,0.8,0.8,3,2.5,2.5,5.4,1.9,2
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205021081,20,45,44,448,563,559,924,987,985,1394,1300,1300,224,240,240,1,0.7,0.7,3,2.3,2.3,6.6,1.5,1.7
205021082,22,48,48,361,534,531,1050,1083,1082,1123,1267,1250,245,160,162,1,0.8,0.8,3.1,2.4,2.4,8.2,1.9,2.1
205021083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
